2018-11-03 01:44:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '331', '60', '00', '291', '7', '10', '46', '50', '0', '33'] EOF
2018-11-03 01:44:29 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '51', '40', '0', '36'] EOF
2018-11-03 01:44:29 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '47', '90', '0', '34'] EOF
2018-11-03 01:44:30 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '51', '80', '0', '37'] EOF
2018-11-03 01:44:30 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '52', '30', '0', '37'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '05', '52', '80', '0', '37'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '47', '80', '0', '34'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '53', '50', '0', '38'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '06', '47', '40', '0', '33'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '80', '0', '34'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:05 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '40', '0', '34'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '60', '0', '36'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '70', '0', '34'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '55', '00', '0', '39'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '60', '0', '34'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '70', '0', '36'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '70', '0', '34'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '20', '0', '36'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '40', '0', '37'] EOF
2018-11-03 01:45:06 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '90', '0', '37'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '90', '0', '37'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '05', '50', '40', '0', '36'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '10', '0', '37'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '20', '0', '33'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '60', '0', '36'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '05', '49', '60', '0', '35'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '80', '0', '37'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '45', '90', '0', '32'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '20', '0', '37'] EOF
2018-11-03 01:45:07 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '10', '0', '33'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '30', '0', '37'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '60', '0', '34'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '40', '0', '36'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '00', '0', '35'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '10', '0', '37'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '46', '90', '0', '33'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '90', '0', '37'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '00', '0', '36'] EOF
2018-11-03 01:45:08 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '30', '0', '37'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '05', '52', '10', '0', '37'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '57', '90', '0', '41'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '40', '0', '33'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '10', '0', '37'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '80', '0', '34'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '60', '0', '36'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '00', '0', '34'] EOF
2018-11-03 01:45:09 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '20', '0', '37'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '57', '20', '0', '40'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '60', '0', '37'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '90', '0', '34'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '80', '0', '37'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '30', '0', '34'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '00', '0', '37'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '40', '0', '33'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '59', '00', '0', '42'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '30', '0', '35'] EOF
2018-11-03 01:45:10 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '70', '0', '37'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '20', '0', '36'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '50', '0', '37'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '40', '0', '36'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '90', '0', '34'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '20', '0', '36'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '00', '0', '35'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '20', '0', '34'] EOF
2018-11-03 01:45:11 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '40', '0', '35'] EOF
2018-11-03 01:45:12 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '70', '0', '34'] EOF
2018-11-03 01:45:12 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '70', '0', '36'] EOF
2018-11-03 01:45:12 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '80', '0', '34'] EOF
2018-11-03 01:45:12 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '00', '0', '37'] EOF
2018-11-03 01:45:12 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '30', '0', '35'] EOF
2018-11-03 01:45:12 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '90', '0', '38'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '00', '0', '37'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '10', '0', '37'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '40', '0', '34'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '20', '0', '37'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '70', '0', '34'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '70', '0', '37'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '50', '0', '33'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '50', '0', '33'] EOF
2018-11-03 01:45:21 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '56', '70', '0', '40'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '60', '0', '34'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '80', '0', '37'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '90', '0', '34'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '80', '0', '37'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '50', '0', '37'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '00', '0', '37'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '40', '0', '37'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '10', '0', '37'] EOF
2018-11-03 01:45:22 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '30', '0', '37'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '00', '0', '37'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '80', '0', '34'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '40', '0', '37'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '00', '0', '34'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '10', '0', '37'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '70', '0', '34'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '03', '52', '90', '0', '37'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '50', '0', '33'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '40', '0', '38'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '20', '0', '34'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '90', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '60', '0', '34'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '90', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '70', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '90', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '00', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '55', '50', '0', '39'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '60', '0', '34'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '20', '0', '37'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '70', '0', '34'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '90', '0', '34'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '30', '0', '36'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '57', '10', '0', '40'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '90', '0', '36'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '30', '0', '35'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '60', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '50', '0', '36'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '10', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '60', '70', '0', '43'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '70', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '90', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '10', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '70', '0', '35'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '50', '0', '37'] EOF
2018-11-03 01:45:27 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '90', '0', '34'] EOF
2018-11-03 01:45:27 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '56', '20', '0', '40'] EOF
2018-11-03 01:45:27 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '46', '90', '0', '33'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '20', '0', '37'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '70', '0', '35'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '30', '0', '36'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '30', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '43', '60', '0', '34'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '48', '20', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '0', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '46', '90', '0', '37'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '48', '20', '0', '38'] EOF
